path,copy,elbo_Y,rmsd,gdt_ts,gdt_ha,tm,lddt
./structures/1g/1gqz.A.pdb,1,0.30571869015693665,1.837,0.8285,0.6734,0.9237,0.8992
./structures/1g/1gqz.A.pdb,2,0.2882106304168701,1.762,0.8285,0.6679,0.929,0.8942
./structures/1g/1gqz.A.pdb,3,0.23753370344638824,1.851,0.8166,0.6533,0.9234,0.8971
./structures/1g/1gqz.A.pdb,4,0.24690383672714233,2.18,0.8066,0.6268,0.9001,0.8786
./structures/1h/1hsi.B.pdb,0,0.10197209566831589,3.269,0.9141,0.8106,0.9022,0.8976
./structures/1h/1hsi.B.pdb,1,0.23889699578285217,1.221,0.9268,0.7879,0.9257,0.9097
./structures/1h/1hsi.B.pdb,2,0.05622759833931923,2.415,0.9066,0.7929,0.8958,0.8949
./structures/1h/1hsi.B.pdb,3,0.1995922178030014,1.485,0.899,0.7601,0.9037,0.8979
./structures/1h/1hsi.B.pdb,4,0.07762228697538376,3.011,0.9015,0.7727,0.8988,0.8866
./structures/1i/1i56.A.pdb,0,0.32694530487060547,2.273,0.7654,0.5462,0.8316,0.7402
./structures/1i/1i56.A.pdb,1,0.28700387477874756,2.218,0.7673,0.5481,0.8354,0.7412
./structures/1i/1i56.A.pdb,2,0.28318721055984497,2.148,0.7712,0.5577,0.8461,0.7506
./structures/1i/1i56.A.pdb,3,0.33605438470840454,2.091,0.7731,0.5558,0.8492,0.7473
./structures/1i/1i56.A.pdb,4,0.30822691321372986,2.062,0.7827,0.5635,0.8549,0.7524
./structures/1i/1igp.A.pdb,0,0.31523171067237854,1.245,0.9443,0.7886,0.9632,0.9263
./structures/1i/1igp.A.pdb,1,0.33154740929603577,1.202,0.95,0.8143,0.966,0.9336
./structures/1i/1igp.A.pdb,2,0.3226472735404968,1.17,0.9586,0.8357,0.9693,0.9305
./structures/1i/1igp.A.pdb,3,0.2547202706336975,1.072,0.9657,0.8414,0.973,0.9354
./structures/1i/1igp.A.pdb,4,0.274203360080719,1.334,0.9229,0.7557,0.9582,0.9185
